latitude,longitude,area_in_meters,confidence,geometry,full_plus_code
1.35068217,103.68188854,222.1685,0.7986,"POLYGON((103.681993052255 1.35073884996211, 103.681933726469 1.35079266348805, 103.681784026701 1.3506254917765, 103.681843352484 1.3505716782487, 103.681993052255 1.35073884996211))",6PH59M2J+7QC7
1.35092038,103.68925192,286.5766,0.8506,"POLYGON((103.689342914218 1.35088180171224, 103.689250099427 1.35098113518979, 103.689248078758 1.35104240721813, 103.689162703976 1.35103955519841, 103.68916677602 1.35091608015391, 103.689229894588 1.35091818868083, 103.689231229927 1.35087769763307, 103.689253486137 1.35087844111961, 103.689256106485 1.3507989850828, 103.689345546857 1.35080197290517, 103.689342914218 1.35088180171224))",6PH59M2Q+9P6R
1.33819581,103.68800659,53.7488,0.8273,"POLYGON((103.688053408411 1.33818647694362, 103.688000533975 1.33824345457555, 103.687959774299 1.33820513980773, 103.688012648734 1.33814816217663, 103.688053408411 1.33818647694362))",6PH58MQQ+76CR
1.35407538,103.69861796,189.3856,0.8683,"POLYGON((103.698704355229 1.35408808018343, 103.698600570439 1.35416149147111, 103.698531566765 1.35406267451081, 103.698635351548 1.35398926322523, 103.698704355229 1.35408808018343))",6PH59M3X+JCQ5
1.34190477,103.69435861,25.59,0.7596,"POLYGON((103.694374417713 1.34187485141706, 103.694378920817 1.34193180129302, 103.694342797897 1.34193469460102, 103.694338294794 1.34187774472581, 103.694374417713 1.34187485141706))",6PH58MRV+QP93
1.35054811,103.69741132,75.3435,0.7946,"POLYGON((103.697462 1.3505816, 103.6973551 1.3505711, 103.6973607 1.3505146, 103.6974675 1.3505251, 103.697462 1.3505816))",6PH59M2W+6X7R
1.34101992,103.69525989,2198.5088,0.7996,"POLYGON((103.694950995441 1.34064670827923, 103.695020968388 1.34073455101893, 103.695091513902 1.3406776281301, 103.69524819778 1.34087432613902, 103.695281059807 1.34084780990288, 103.695614032483 1.34126581752331, 103.695491951834 1.34136432386965, 103.695465702457 1.34133137089484, 103.695407325819 1.3413784747444, 103.695342792537 1.34129746086458, 103.695371240593 1.34127450625361, 103.695349330251 1.3412470004183, 103.695320882195 1.34126995502908, 103.695170884103 1.3410816502117, 103.695199332155 1.34105869560189, 103.695176102038 1.34102953294492, 103.695147653987 1.34105248755469, 103.695041806513 1.34091960859554, 103.695020426866 1.34093685974057, 103.694974021883 1.34087860377727, 103.694995401527 1.34086135263349, 103.694962764591 1.34082038082688, 103.694991212637 1.34079742621859, 103.694972366768 1.34077376746376, 103.694943918723 1.34079672207195, 103.694873945781 1.3407088793312, 103.694950995441 1.34064670827923))",6PH58MRW+C42M
1.34142894,103.6832132,21.0034,0.7304,"POLYGON((103.683240454488 1.34141779530332, 103.683229996809 1.34145324436683, 103.683185947355 1.34144008108917, 103.683196405034 1.34140463202652, 103.683240454488 1.34141779530332))",6PH58MRM+H7G5
1.35225614,103.68788338,13.6807,0.6626,"POLYGON((103.687890627524 1.3522373065169, 103.687906892377 1.35227369579094, 103.687866082515 1.35227074942373, 103.687868579588 1.35223571471281, 103.687890627524 1.3522373065169))",6PH59M2Q+W527
1.34202708,103.68617445,2455.0724,0.8986,"POLYGON((103.6859464 1.3416954, 103.6858897 1.3417696, 103.6859263 1.341798, 103.6859623 1.3417509, 103.6865252 1.342187, 103.686546 1.3421599, 103.68666 1.3422482, 103.6866033 1.3423224, 103.6865734 1.3422992, 103.6865632 1.3423125, 103.6865931 1.3423357, 103.6865245 1.3424254, 103.6863564 1.3422952, 103.6863746 1.3422715, 103.686341 1.3422456, 103.6863216 1.342271, 103.6862497 1.3422153, 103.6862698 1.342189, 103.6862505 1.342174, 103.6862321 1.342198, 103.6861794 1.3421571, 103.6861971 1.342134, 103.6861401 1.3420899, 103.6861234 1.3421118, 103.6859021 1.3419404, 103.6858996 1.3419437, 103.6856928 1.3417835, 103.6857526 1.3417052, 103.6858076 1.3417479, 103.6858278 1.3417216, 103.6857727 1.3416789, 103.6858294 1.3416048, 103.6859464 1.3416954))",6PH58MRP+RF74
1.34082162,103.68432569,150.773,0.848,"POLYGON((103.684396979896 1.34082953092017, 103.68434174514 1.34085112368355, 103.684354188762 1.34088336733349, 103.684299950768 1.34090457043219, 103.684256309287 1.34079148753846, 103.68436578203 1.34074869167475, 103.684396979896 1.34082953092017))",6PH58MRM+8PGV
1.34020583,103.67920262,142.3577,0.8761,"POLYGON((103.679280158034 1.34016172349586, 103.679180534504 1.34029266074776, 103.679125090611 1.34024992947341, 103.679224714138 1.34011899222509, 103.679280158034 1.34016172349586))",6PH58MRH+3MP7
1.35231734,103.68210562,39.3006,0.6714,"POLYGON((103.682143679687 1.35230523672402, 103.682112494995 1.35235692558164, 103.682067553994 1.35232946079081, 103.682098738685 1.35227777193452, 103.682143679687 1.35230523672402))",6PH59M2J+WRHM
1.3544313,103.68777721,270.2652,0.774,"POLYGON((103.687787815115 1.35432991668583, 103.687790124794 1.35432910504889, 103.687856464124 1.35452033204433, 103.687747827166 1.35455850779864, 103.687724608703 1.35449157920643, 103.687749320652 1.3544828952619, 103.687709579698 1.35436833962459, 103.687763477638 1.35434939952417, 103.687731171038 1.35425627385956, 103.687758888414 1.3542465337838, 103.687787815115 1.35432991668583))",6PH59M3Q+Q4C9
1.34495169,103.69495665,60.592,0.821,"POLYGON((103.6950062195 1.34494956778609, 103.694966024864 1.34500072427747, 103.69490707063 1.34495380254498, 103.694947265264 1.34490264605461, 103.6950062195 1.34494956778609))",6PH58MVV+XXP4
1.35068401,103.68078588,119.9291,0.8712,"POLYGON((103.68085529658 1.35068608088446, 103.680781227743 1.35075375419484, 103.680716456164 1.35068194298576, 103.680790524999 1.35061426967958, 103.68085529658 1.35068608088446))",6PH59M2J+78F6
1.35116926,103.68608907,71.6289,0.6701,"POLYGON((103.686142932481 1.35117160467312, 103.686079432554 1.35122264424158, 103.686035219508 1.35116692488307, 103.686098719432 1.35111588531502, 103.686142932481 1.35117160467312))",6PH59M2P+FC8Q
1.34259355,103.68736999,44.479,0.81,"POLYGON((103.687389575991 1.34255335991469, 103.687397685391 1.34262859146021, 103.687350411559 1.34263375326957, 103.687342302161 1.34255852172533, 103.687389575991 1.34255335991469))",6PH58MVP+2WQQ
1.35445399,103.68577653,10.6884,0.7127,"POLYGON((103.685793714417 1.35444227594238, 103.685786198408 1.35447253601895, 103.68575933788 1.35446574795941, 103.685766802279 1.35443547236126, 103.685793714417 1.35444227594238))",6PH59M3P+Q8J5
1.34486771,103.67582183,26.9126,0.8513,"POLYGON((103.67584235275 1.34484103517783, 103.675841762526 1.34489484128374, 103.675801303073 1.34489439171308, 103.675801893298 1.34484058560806, 103.67584235275 1.34484103517783))",6PH58MVG+W8WM
1.33851727,103.69119109,23.4878,0.6729,"POLYGON((103.691212085692 1.33853989405674, 103.691170069459 1.33853987148765, 103.69117009344 1.33849464704862, 103.691212109673 1.33849466961694, 103.691212085692 1.33853989405674))",6PH58MQR+CF4J
1.34296498,103.68294271,258.5137,0.7366,"POLYGON((103.683269758474 1.34304295427159, 103.683261245918 1.34307289821077, 103.68261566614 1.3428869921613, 103.682624178699 1.34285704823123, 103.683269758474 1.34304295427159))",6PH58MVM+55PC
1.35406872,103.69807033,23.9746,0.6768,"POLYGON((103.698071182619 1.35403668258781, 103.698100317112 1.3540794960567, 103.698069479811 1.35410075255679, 103.69804034532 1.35405793908801, 103.698071182619 1.35403668258781))",6PH59M3X+J6GM
1.34079581,103.6976936,75.7025,0.6826,"POLYGON((103.697734281055 1.34082686363768, 103.697704981254 1.34080129369381, 103.697664846714 1.34084787871989, 103.697630547595 1.34081794586845, 103.697696394049 1.34074151646548, 103.697759992971 1.34079701926023, 103.697734281055 1.34082686363768))",6PH58MRX+838R
1.3466155,103.68989961,95.7776,0.824,"POLYGON((103.689944014497 1.346568131219, 103.689925422639 1.34667520835678, 103.689855204109 1.34666285830035, 103.689873795968 1.34655578116587, 103.689944014497 1.346568131219))",6PH58MWQ+JXRQ
1.34208863,103.68970858,909.372,0.7726,"POLYGON((103.689872936534 1.34224077204523, 103.68986009962 1.34211411334414, 103.689625865259 1.34213816078198, 103.689622911238 1.34210901415968, 103.689406024464 1.34213128060516, 103.689408978482 1.34216042722472, 103.689352183699 1.34216625799507, 103.689341199504 1.34205787942507, 103.689849115399 1.34200573475016, 103.689844753184 1.34196269385913, 103.689892599143 1.34195778179527, 103.68989696136 1.34200082268651, 103.689942825876 1.34199611404525, 103.689966647022 1.34223115134905, 103.689872936534 1.34224077204523))",6PH58MRQ+RVPG
1.35101841,103.68612044,78.4558,0.8668,"POLYGON((103.686175121917 1.35103243453456, 103.6860990181 1.35107095202704, 103.686065758195 1.35100438503482, 103.686141862009 1.35096586754206, 103.686175121917 1.35103243453456))",6PH59M2P+CC5Q
1.34928849,103.68682208,111.4202,0.8258,"POLYGON((103.686882647975 1.34925857371539, 103.686862204808 1.34934307755315, 103.686761505982 1.34931840089611, 103.686781949151 1.34923389706238, 103.686882647975 1.34925857371539))",6PH58MXP+PP8F
